iter	Passed	Remaining
0	147	147362
1	148	73873
2	148	49369
3	149	37120
4	149	29762
5	150	24862
6	150	21355
7	151	18732
8	151	16690
9	152	15058
10	152	13720
11	153	12609
12	153	11665
13	154	10858
14	154	10161
15	155	9549
16	155	9006
17	156	8522
18	156	8092
19	157	7702
20	157	7353
21	158	7033
22	158	6741
23	159	6476
24	159	6232
25	160	6004
26	160	5796
27	161	5601
28	161	5421
29	162	5252
30	162	5094
31	163	4945
32	164	4806
33	164	4674
34	165	4551
35	165	4433
36	166	4322
37	166	4217
38	167	4117
39	167	4021
40	168	3931
41	168	3844
42	169	3763
43	169	3684
44	170	3610
45	170	3539
46	171	3470
47	171	3404
48	172	3341
49	172	3281
50	173	3222
51	173	3166
52	174	3112
53	174	3060
54	175	3010
55	175	2962
56	176	2915
57	176	2870
58	177	2827
59	177	2785
60	178	2744
61	178	2704
62	179	2666
63	179	2629
64	180	2593
65	180	2558
66	181	2524
67	181	2488
68	182	2456
69	182	2425
70	183	2395
71	183	2366
72	184	2337
73	184	2310
74	185	2284
75	185	2258
76	186	2232
77	186	2206
78	187	2182
79	187	2158
80	188	2135
81	188	2112
82	189	2090
83	189	2069
84	190	2046
85	190	2025
86	190	2003
87	191	1985
88	192	1966
89	192	1948
90	193	1930
91	193	1912
92	194	1894
93	194	1877
94	195	1860
95	195	1844
96	196	1828
97	196	1812
98	197	1796
99	197	1781
100	198	1766
101	198	1749
102	199	1735
103	199	1721
104	200	1707
105	200	1693
106	201	1680
107	201	1667
108	202	1654
109	202	1641
110	203	1629
111	204	1617
112	204	1605
113	205	1593
114	205	1581
115	205	1569
116	206	1557
117	206	1547
118	207	1535
119	207	1524
120	208	1513
121	208	1503
122	209	1491
123	209	1480
124	210	1470
125	210	1460
126	211	1451
127	211	1440
128	211	1431
129	212	1421
130	212	1412
131	213	1403
132	213	1394
133	214	1385
134	214	1377
135	215	1368
136	215	1360
137	216	1351
138	216	1343
139	217	1335
140	217	1327
141	218	1319
142	218	1312
143	219	1305
144	220	1297
145	220	1290
146	221	1282
147	221	1275
148	222	1268
149	222	1261
150	223	1254
151	223	1247
152	224	1240
153	224	1233
154	225	1226
155	225	1220
156	226	1213
157	226	1207
158	227	1200
159	227	1194
160	227	1187
161	228	1181
162	228	1175
163	229	1169
164	229	1163
165	230	1157
166	230	1151
167	231	1145
168	231	1139
169	232	1134
170	232	1128
171	233	1123
172	233	1117
173	234	1112
174	234	1107
175	235	1102
176	236	1097
177	236	1092
178	236	1087
179	237	1081
180	237	1075
181	238	1070
182	238	1065
183	239	1060
184	239	1055
185	240	1051
186	240	1046
187	241	1041
188	241	1036
189	242	1032
190	242	1027
191	243	1023
192	243	1018
193	244	1014
194	244	1009
195	245	1005
196	245	1001
197	246	997
198	246	992
199	247	988
200	247	984
201	248	980
202	248	976
203	249	972
204	249	968
205	250	964
206	250	960
207	251	957
208	251	953
209	252	949
210	252	945
211	253	941
212	253	937
213	254	934
214	254	930
215	255	926
216	255	922
217	256	919
218	256	915
219	257	911
220	257	908
221	258	904
222	258	901
223	259	898
224	259	894
225	260	891
226	260	888
227	261	884
228	261	881
229	262	878
230	262	875
231	263	872
232	264	869
233	264	866
234	265	863
235	265	859
236	266	856
237	266	853
238	267	850
239	267	847
240	268	844
241	268	841
242	269	838
243	269	835
244	270	832
245	270	830
246	271	827
247	271	824
248	272	822
249	273	820
250	274	818
251	275	816
252	275	813
253	276	811
254	276	808
255	277	805
256	277	803
257	278	800
258	278	797
259	279	795
260	279	792
261	280	789
262	280	787
263	281	784
264	281	781
265	282	779
266	283	776
267	283	774
268	284	772
269	284	769
270	285	767
271	285	765
272	286	762
273	286	760
274	287	758
275	288	755
276	288	753
277	289	750
278	289	748
279	290	746
280	290	744
281	291	741
282	291	739
283	292	737
284	293	735
285	293	732
286	294	730
287	294	728
288	295	726
289	295	724
290	296	721
291	296	719
292	297	717
293	297	715
294	298	713
295	299	711
296	299	709
297	300	707
298	300	705
299	301	702
300	301	700
301	302	698
302	302	696
303	303	694
304	303	692
305	304	690
306	304	688
307	305	686
308	305	684
309	306	682
310	307	680
311	307	678
312	308	676
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	312	663
320	312	661
321	313	659
322	313	657
323	314	655
324	314	653
325	315	651
326	315	649
327	316	647
328	316	646
329	317	644
330	317	642
331	318	640
332	319	639
333	319	637
334	320	636
335	321	634
336	321	633
337	322	631
338	323	630
339	323	628
340	324	627
341	325	625
342	325	624
343	326	622
344	327	621
345	327	619
346	328	618
347	329	617
348	329	615
349	330	613
350	331	612
351	331	611
352	332	609
353	333	608
354	333	606
355	334	605
356	335	603
357	335	602
358	336	600
359	337	599
360	337	598
361	338	596
362	339	595
363	339	593
364	340	592
365	341	590
366	341	589
367	342	587
368	343	586
369	343	585
370	344	583
371	345	582
372	345	581
373	346	579
374	347	578
375	347	577
376	348	575
377	349	574
378	349	573
379	350	571
380	350	570
381	351	568
382	352	567
383	353	566
384	353	564
385	354	563
386	354	561
387	355	560
388	355	559
389	356	557
390	357	556
391	357	554
392	358	553
393	359	552
394	359	551
395	360	549
396	361	548
397	361	547
398	362	545
399	363	544
400	363	543
401	364	542
402	365	540
403	365	539
404	366	538
405	367	537
406	367	535
407	368	534
408	369	533
409	369	532
410	370	530
411	371	529
412	371	528
413	372	527
414	373	526
415	373	524
416	374	523
417	375	522
418	375	521
419	376	519
420	377	518
421	377	517
422	378	516
423	379	515
424	379	513
425	380	512
426	381	511
427	381	510
428	382	508
429	382	507
430	383	506
431	384	505
432	385	504
433	385	503
434	386	501
435	387	500
436	387	499
437	388	498
438	388	497
439	389	496
440	390	495
441	391	493
442	391	492
443	392	491
444	393	490
445	393	489
446	394	488
447	395	486
448	395	485
449	396	484
450	397	483
451	397	482
452	398	480
453	399	479
454	399	478
455	400	477
456	400	476
457	401	475
458	402	474
459	402	472
460	403	471
461	404	470
462	404	469
463	405	468
464	406	467
465	406	466
466	407	465
467	408	464
468	409	463
469	409	462
470	410	461
471	411	460
472	411	459
473	412	457
474	413	456
475	414	455
476	414	454
477	415	453
478	415	452
479	416	451
480	417	450
481	417	449
482	418	448
483	419	446
484	419	445
485	420	444
486	421	443
487	421	442
488	422	441
489	423	440
490	423	439
491	424	438
492	425	437
493	425	436
494	426	435
495	427	434
496	427	433
497	428	431
498	429	430
499	429	429
500	430	428
501	431	427
502	431	426
503	432	425
504	432	424
505	433	423
506	434	422
507	434	421
508	435	420
509	436	418
510	436	417
511	437	416
512	438	415
513	438	414
514	439	413
515	440	412
516	440	411
517	441	410
518	441	409
519	442	408
520	443	407
521	443	406
522	444	405
