iter	Passed	Remaining
0	134	134357
1	135	67456
2	135	45101
3	136	33944
4	136	27238
5	137	22762
6	137	19569
7	138	17167
8	138	15303
9	139	13809
10	140	12593
11	140	11576
12	141	10715
13	141	9975
14	142	9335
15	142	8776
16	143	8293
17	143	7852
18	144	7459
19	145	7107
20	145	6787
21	146	6495
22	146	6229
23	147	5986
24	147	5762
25	148	5553
26	148	5361
27	149	5182
28	149	5015
29	150	4863
30	151	4720
31	151	4584
32	152	4455
33	152	4334
34	153	4220
35	153	4114
36	154	4014
37	154	3922
38	155	3831
39	156	3745
40	156	3662
41	157	3588
42	157	3516
43	158	3448
44	159	3384
45	160	3318
46	160	3255
47	161	3195
48	161	3139
49	162	3083
50	162	3030
51	163	2979
52	163	2930
53	164	2882
54	165	2840
55	165	2796
56	166	2752
57	166	2710
58	167	2670
59	168	2632
60	168	2595
61	169	2559
62	169	2524
63	170	2489
64	170	2456
65	171	2424
66	171	2393
67	172	2363
68	173	2336
69	173	2308
70	174	2280
71	174	2253
72	175	2226
73	175	2200
74	176	2175
75	176	2151
76	177	2126
77	177	2103
78	178	2082
79	179	2060
80	179	2040
81	180	2019
82	180	1996
83	181	1976
84	181	1957
85	182	1938
86	182	1919
87	183	1902
88	184	1885
89	184	1868
90	185	1851
91	185	1833
92	186	1817
93	186	1802
94	187	1788
95	188	1773
96	188	1758
97	189	1743
98	189	1728
99	190	1714
100	191	1700
101	191	1688
102	192	1675
103	192	1662
104	193	1649
105	193	1635
106	194	1623
107	195	1612
108	195	1600
109	196	1588
110	196	1577
111	197	1566
112	198	1555
113	198	1544
114	199	1533
115	199	1523
116	200	1511
117	200	1501
118	201	1490
119	201	1480
120	202	1471
121	202	1460
122	203	1451
123	204	1441
124	204	1431
125	205	1422
126	205	1412
127	206	1404
128	206	1397
129	207	1389
130	208	1380
131	208	1372
132	209	1363
133	209	1355
134	210	1347
135	210	1339
136	211	1331
137	211	1323
138	212	1316
139	212	1308
140	213	1300
141	214	1293
142	214	1285
143	215	1278
144	215	1271
145	216	1265
146	216	1259
147	217	1252
148	218	1247
149	218	1240
150	219	1233
151	219	1226
152	220	1220
153	221	1214
154	221	1208
155	222	1202
156	222	1196
157	223	1190
158	223	1183
159	224	1177
160	224	1170
161	225	1165
162	225	1159
163	226	1154
164	226	1148
165	227	1142
166	228	1137
167	228	1131
168	229	1127
169	229	1122
